service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3508,0,0,0,0,0,1,1,20180120,20190501
3507,1,1,1,1,1,0,0,20180115,20190501
3577,1,1,1,1,1,0,0,20170828,20190501
3569,0,0,0,0,0,1,1,20180203,20190501
3588,0,0,0,0,1,0,0,20180511,20190501
3587,0,0,0,1,0,0,0,20180510,20190501
3589,0,0,0,0,0,1,0,20180505,20190501
3591,0,0,0,0,1,0,0,20180511,20190501
3590,0,0,0,1,0,0,0,20180510,20190501
3592,0,0,0,0,0,1,0,20180505,20190501
3593,1,1,1,1,1,0,0,20180504,20190501
3579,1,1,1,1,1,0,0,20180307,20190501
3388,1,1,1,1,1,0,0,20171009,20190501
3277,0,0,0,0,0,1,1,20170902,20190501
3462,1,1,1,1,1,0,0,20171120,20190501
3584,1,1,1,1,1,0,0,20180321,20190501
3553,1,1,1,1,1,0,0,20180201,20190501
3499,0,0,0,0,0,1,1,20180106,20190501
3564,0,0,0,0,0,1,1,20180203,20190501
3563,1,1,1,1,1,0,0,20180201,20190501
3284,1,1,1,1,1,0,0,20170828,20190501
3285,0,0,0,0,0,1,1,20170902,20190501
3489,1,1,1,1,1,0,0,20180102,20190501
3286,1,1,1,1,1,0,0,20170828,20190501
3287,0,0,0,0,0,1,1,20170902,20190501
3511,1,1,1,1,1,0,0,20180115,20190501
3498,0,0,0,0,0,1,1,20180106,20190501
3497,1,1,1,1,1,0,0,20180102,20190501
3290,1,1,1,1,1,0,0,20170828,20190501
3481,0,0,0,0,0,1,1,20171223,20190501
3480,1,1,1,1,1,0,0,20171220,20190501
3557,0,0,0,0,0,1,1,20180203,20190501
3556,1,1,1,1,1,0,0,20180201,20190501
3582,0,0,0,0,0,1,1,20180310,20190501
3580,1,1,1,1,1,0,0,20180307,20190501
3585,1,1,1,1,1,0,0,20180321,20190501
3586,0,0,0,0,0,1,1,20180324,20190501
3300,1,1,1,1,1,0,0,20170828,20190501
3301,1,1,1,1,1,0,0,20170828,20190501
3302,0,0,0,0,0,1,1,20170902,20190501
3305,0,0,0,0,0,1,0,20170902,20190501
3304,0,0,0,0,1,0,0,20170901,20190501
3303,0,0,0,1,0,0,0,20170831,20190501
3307,0,0,0,0,0,1,1,20170902,20190501
3306,1,1,1,1,1,0,0,20170828,20190501
3309,0,0,0,0,0,1,1,20170902,20190501
3308,1,1,1,1,1,0,0,20170828,20190501
3312,0,0,0,0,0,0,1,20170903,20190501
3311,0,0,0,0,0,1,0,20170902,20190501
3310,1,1,1,1,1,0,0,20170828,20190501
3313,1,1,1,1,1,0,0,20170828,20190501
3572,1,1,1,1,1,0,0,20180201,20190501
3599,1,1,1,1,1,0,0,20180504,20190501
3600,0,0,0,0,0,1,1,20180505,20190501
3318,0,0,0,0,0,1,1,20170902,20190501
3317,1,1,1,1,1,0,0,20170828,20190501
3581,1,1,1,1,1,0,0,20180307,20190501
3574,0,0,0,0,0,1,1,20180203,20190501
