route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
kaunas_bus_3,3,Kauno klinikinė ligoninė - Onkologijos ligoninė,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/3,0073AC,FFFFFF
kaunas_bus_6,6,Technikos g. - Garliava,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/6,0073AC,FFFFFF
kaunas_bus_6A,6A,Respublikinė Kauno ligoninė - Garliava,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/6A,0073AC,FFFFFF
kaunas_bus_6G,6G,Technikos g. - Garliava,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/6G,0073AC,FFFFFF
kaunas_bus_13N,13N,Centras - Šiaurės pr.,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/13N,0073AC,FFFFFF
kaunas_bus_14N,14N,Centras - Šiaurės pr.,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/14N,0073AC,FFFFFF
kaunas_bus_17,17,Romainiai - Neveronių g.,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/17,0073AC,FFFFFF
kaunas_bus_17G,17G,Urmas - Kauno klinikinė ligoninė,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/17G,0073AC,FFFFFF
kaunas_bus_18,18,Geležinkelio stotis - A. Stulginskio universitetas,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/18,0073AC,FFFFFF
kaunas_bus_19,19,Skubios pagalbos centras - Palemono keramika,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/19,0073AC,FFFFFF
kaunas_bus_20,20,Partizanų g. - Urmo turgus - Seniava,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/20,0073AC,FFFFFF
kaunas_bus_21,21,Kauno pilis - Mega,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/21,0073AC,FFFFFF
kaunas_bus_22,22,Geležinkelio stotis - Kauno pilis,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/22,0073AC,FFFFFF
kaunas_bus_23,23,Domeikava - Rokai,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/23,0073AC,FFFFFF
kaunas_bus_24,24,Kauno pilis - Šiaurės pr.,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/24,0073AC,FFFFFF
kaunas_bus_26,26,Kauno pienas (Kitron) - Kazliškiai,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/26,0073AC,FFFFFF
kaunas_bus_27G,27G,Kauno klinikinė ligoninė - Onkologijos ligoninė,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/27G,0073AC,FFFFFF
kaunas_bus_28,28,Urmo turgus (Partizanų g.) - Švenčionių g.,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/28,0073AC,FFFFFF
kaunas_bus_29,29,Kauno oro uostas - Geležinkelio stotis,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/29,0073AC,FFFFFF
kaunas_bus_31,31,Technikumo g. - S. Dariaus ir S. Girėno g. - Mega,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/31,0073AC,FFFFFF
kaunas_bus_31A,31A,Technikumo g. - S. Dariaus ir S. Girėno g. - Kauno pilis,,700,https://www.stops.lt/kaunas/index.html#kaunas/bus/31A,0073AC,FFFFFF
